epoch,lr,train_loss,train_loss_cls,train_loss_jepa,train_acc1,val_loss,val_acc1
1,0.0001,3.9853,2.9889,0.9963,24.02,4.3373,30
2,0.0002,3.7022,2.7766,0.9255,25.49,4.0209,30
3,0.0003,3.4357,2.5767,0.8589,32.59,3.9574,30
4,0.0004,3.2374,2.4281,0.8094,36.22,3.545,30
5,0.0005,2.9936,2.2452,0.7484,42.06,3.4526,30
6,0.00049986,2.8017,2.1013,0.7004,39.77,3.3397,30
7,0.00049945,2.6285,1.9714,0.6571,45.24,3.153,30
8,0.00049877,2.4483,1.8362,0.6121,46.36,2.8237,30
9,0.00049782,2.116,1.587,0.529,50.08,2.9186,30
10,0.0004966,2.1305,1.5979,0.5326,51.4,2.595,30
11,0.0004951,1.9548,1.4661,0.4887,55.65,2.6493,31.85
12,0.00049334,1.8635,1.3976,0.4659,59.19,2.4949,35.5
13,0.00049132,1.6825,1.2619,0.4206,59.18,2.3836,38.53
14,0.00048903,1.5926,1.1945,0.3982,67.29,2.117,42.0
15,0.00048648,1.5432,1.1574,0.3858,67.35,2.2099,46.28
16,0.00048367,1.4835,1.1126,0.3709,66.09,1.9784,49.07
17,0.00048061,1.3743,1.0307,0.3436,65.07,1.9677,53.37
18,0.0004773,1.2319,0.9239,0.308,70.98,2.0905,57.16
19,0.00047373,1.2058,0.9044,0.3015,69.79,1.6961,60.04
20,0.00046993,1.1552,0.8664,0.2888,71.28,1.7797,63.51
21,0.00046588,1.0093,0.757,0.2523,73.14,1.5264,65.75
22,0.0004616,0.9598,0.7198,0.2399,75.8,1.5667,69.99
23,0.00045709,0.9483,0.7113,0.2371,76.47,1.5956,72.56
24,0.00045235,0.9001,0.6751,0.225,75.21,1.4858,74.87
25,0.00044739,0.9027,0.677,0.2257,78.21,1.3566,77.53
26,0.00044222,0.8794,0.6595,0.2198,79.47,1.2277,78.34
27,0.00043683,0.7537,0.5653,0.1884,83.0,1.3605,80.7
28,0.00043124,0.607,0.4553,0.1518,82.44,1.1905,82.13
29,0.00042546,0.6617,0.4963,0.1654,81.83,1.0966,84.03
30,0.00041948,0.6415,0.4811,0.1604,85.33,1.1248,84.23
31,0.00041332,0.6399,0.4799,0.16,80.84,1.0017,85.59
32,0.00040698,0.6535,0.4901,0.1634,84.01,1.1145,87.46
33,0.00040047,0.6537,0.4903,0.1634,82.04,1.0846,87.15
34,0.0003938,0.6508,0.4881,0.1627,81.89,1.0793,88.35
35,0.00038696,0.6199,0.4649,0.155,87.24,0.9377,88.52
36,0.00037998,0.4621,0.3466,0.1155,86.74,1.1633,88.92
37,0.00037286,0.4767,0.3575,0.1192,87.5,0.8949,88.73
38,0.0003656,0.5044,0.3783,0.1261,88.98,0.9047,90.5
39,0.00035822,0.4208,0.3156,0.1052,88.69,0.9345,90.4
40,0.00035072,0.428,0.321,0.107,90.46,0.9329,90.48
41,0.00034311,0.5142,0.3857,0.1286,89.81,1.057,90.82
42,0.0003354,0.4511,0.3383,0.1128,88.37,0.9701,90.94
43,0.0003276,0.4342,0.3256,0.1085,90.36,0.7518,91.62
44,0.00031971,0.3321,0.2491,0.083,90.25,0.7246,91.32
45,0.00031175,0.4528,0.3396,0.1132,91.17,0.8206,90.89
46,0.00030372,0.3911,0.2933,0.0978,87.29,0.7486,91.67
47,0.00029563,0.3559,0.2669,0.089,91.58,0.6807,91.78
48,0.00028749,0.406,0.3045,0.1015,92.82,0.7626,91.31
49,0.00027931,0.3795,0.2846,0.0949,95.57,0.781,90.84
50,0.0002711,0.358,0.2685,0.0895,91.07,0.6983,92.6
