epoch,lr,train_loss,train_loss_cls,train_loss_jepa,train_acc1,val_loss,val_acc1
1,0.0001,4.136,3.102,1.034,21.87,4.452,30
2,0.0002,3.9861,2.9896,0.9965,21.37,4.2403,30
3,0.0003,3.8368,2.8776,0.9592,26.69,4.2721,30
4,0.0004,3.7414,2.8061,0.9354,28.7,3.9462,30
5,0.0005,3.5872,2.6904,0.8968,33.07,3.9322,30
6,0.00049986,3.4731,2.6048,0.8683,29.45,3.8901,30
7,0.00049945,3.3668,2.5251,0.8417,33.72,3.7672,30
8,0.00049877,3.2437,2.4328,0.8109,33.78,3.4951,30
9,0.00049782,2.9597,2.2198,0.7399,36.53,3.6411,30
10,0.0004966,3.0145,2.2609,0.7536,37.0,3.3631,30
11,0.0004951,2.8718,2.1539,0.718,40.49,3.4576,30
12,0.00049334,2.8071,2.1053,0.7018,43.37,3.3386,30
13,0.00049132,2.6467,1.985,0.6617,42.79,3.2582,30
14,0.00048903,2.5723,1.9292,0.6431,50.39,3.0183,30
15,0.00048648,2.5337,1.9003,0.6334,50.02,3.1341,30
16,0.00048367,2.4805,1.8604,0.6201,48.4,2.9219,30
17,0.00048061,2.3741,1.7806,0.5935,47.08,2.9273,30
18,0.0004773,2.2312,1.6734,0.5578,52.74,3.0631,30
19,0.00047373,2.2017,1.6512,0.5504,51.37,2.6789,30
20,0.00046993,2.1449,1.6087,0.5362,52.71,2.7702,30
21,0.00046588,1.9907,1.493,0.4977,54.47,2.5221,30.77
22,0.0004616,1.9307,1.4481,0.4827,57.07,2.5656,33.96
23,0.00045709,1.9071,1.4304,0.4768,57.72,2.5956,35.68
24,0.00045235,1.8453,1.3839,0.4613,56.47,2.4851,37.4
25,0.00044739,1.8329,1.3746,0.4582,59.51,2.3536,39.75
26,0.00044222,1.7935,1.3451,0.4484,60.85,2.2208,40.43
27,0.00043683,1.6508,1.2381,0.4127,64.48,2.3483,42.97
28,0.00043124,1.4863,1.1147,0.3716,64.04,2.1718,44.76
29,0.00042546,1.5226,1.1419,0.3806,63.57,2.0703,47.25
