epoch,lr,train_loss,train_loss_cls,train_loss_jepa,train_acc1,val_loss,val_acc1
1,0.0001,4.0907,3.068,1.0227,23.58,4.3343,30
2,0.0002,3.9944,2.9958,0.9986,24.85,4.276,30
3,0.0003,3.8809,2.9107,0.9702,28.46,4.1456,30
4,0.0004,3.6718,2.7538,0.9179,29.89,3.9648,30
5,0.0005,3.6608,2.7456,0.9152,32.16,3.9101,30
6,0.00049986,3.4667,2.6,0.8667,32.73,3.8289,30
7,0.00049945,3.2299,2.4224,0.8075,30.46,3.7639,30
8,0.00049877,3.0942,2.3207,0.7736,36.64,3.7181,30
9,0.00049782,3.0909,2.3182,0.7727,38.38,3.3901,30
10,0.0004966,2.9685,2.2264,0.7421,39.65,3.3041,30
11,0.0004951,2.8507,2.138,0.7127,39.61,3.2522,30
12,0.00049334,2.7225,2.0419,0.6806,41.34,3.4004,30
13,0.00049132,2.6988,2.0241,0.6747,41.3,3.3607,30
14,0.00048903,2.5928,1.9446,0.6482,45.22,3.1875,30
15,0.00048648,2.5786,1.9339,0.6446,47.48,2.9507,30
16,0.00048367,2.4561,1.8421,0.614,48.53,3.0213,30
17,0.00048061,2.2753,1.7065,0.5688,53.18,2.8803,30
18,0.0004773,2.2327,1.6745,0.5582,51.55,2.7953,30
19,0.00047373,2.2014,1.6511,0.5504,55.18,2.6427,30
20,0.00046993,2.0778,1.5583,0.5194,56.61,2.7068,30
21,0.00046588,2.0154,1.5116,0.5039,58.07,2.5837,31.21
22,0.0004616,2.0099,1.5075,0.5025,53.06,2.8177,32.92
23,0.00045709,1.8926,1.4195,0.4732,58.11,2.4909,33.94
24,0.00045235,1.7806,1.3355,0.4452,57.02,2.4533,36.3
25,0.00044739,1.7559,1.3169,0.439,61.51,2.3197,37.43
26,0.00044222,1.748,1.311,0.437,61.29,2.2827,41.04
27,0.00043683,1.7066,1.2799,0.4266,62.61,2.1003,41.65
28,0.00043124,1.6982,1.2737,0.4246,64.8,2.1467,44.22
29,0.00042546,1.4626,1.0969,0.3656,62.8,2.3311,46.11
30,0.00041948,1.4867,1.115,0.3717,64.22,2.2284,47.93
31,0.00041332,1.5343,1.1507,0.3836,69.1,2.1508,49.92
32,0.00040698,1.362,1.0215,0.3405,64.88,2.1121,51.65
33,0.00040047,1.259,0.9443,0.3148,67.23,2.0913,54.66
34,0.0003938,1.3968,1.0476,0.3492,66.8,1.8496,55.77
35,0.00038696,1.3665,1.0249,0.3416,67.99,1.7991,57.27
36,0.00037998,1.2618,0.9463,0.3154,72.55,1.8483,59.3
37,0.00037286,1.1873,0.8905,0.2968,72.58,1.8694,61.16
38,0.0003656,1.1782,0.8837,0.2946,71.34,1.8478,63.2
39,0.00035822,1.0692,0.8019,0.2673,71.7,1.7904,64.48
